Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.819672131147541,0.7619047619047619,0.9696969696969697,0.8533333333333334,0.9063852813852814
SVM,0.819672131147541,0.775,0.9393939393939394,0.8493150684931506,0.8831168831168832
Logistic Regression,0.8032786885245902,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.8690476190476191
XGBoost,0.7868852459016393,0.75,0.9090909090909091,0.821917808219178,0.8495670995670995
